1,Dallas Cowboys (DAL),37,12,5,9,6,1,1,11,145.0,13.2,99.4%
2,Baltimore Ravens (BAL),47,11,8,10,1,1,0,12,125.0,10.4,88.6%
3,Buffalo Bills (BUF),41,11,10,10,1,0,0,12,110.0,9.2,89.8%
4,Cleveland Browns (CLE),34,9,7,8,2,0,0,11,106.0,9.6,91.0%
5,Pittsburgh Steelers (PIT),32,12,8,13,2,1,0,11,105.0,9.5,86.1%
6,San Francisco 49ers (SF),33,15,6,7,0,0,0,11,100.0,9.1,94.8%
7,Indianapolis Colts (IND),36,12,6,12,3,0,0,11,94.0,8.5,14.4%
8,New York Jets (NYJ),28,12,7,10,2,2,1,11,93.0,8.5,66.2%
9,Kansas City Chiefs (KC),37,6,8,11,1,0,0,11,91.0,8.3,83.7%
10,Miami Dolphins (MIA),38,9,5,8,2,0,0,11,89.0,8.1,88.0%
11,Seattle Seahawks (SEA),32,8,7,9,3,0,0,11,89.0,8.1,31.6%
12,New Orleans Saints (NO),18,14,6,4,1,0,1,11,86.0,7.8,58.3%
13,Cincinnati Bengals (CIN),28,12,7,8,1,0,1,11,85.0,7.7,24.0%
14,Denver Broncos (DEN),23,10,12,12,1,1,1,11,84.0,7.6,37.6%
15,Jacksonville Jaguars (JAC),24,11,9,9,2,0,0,11,84.0,7.6,29.7%
16,Minnesota Vikings (MIN),29,9,5,14,2,0,0,11,81.0,7.4,49.5%
17,Tampa Bay Buccaneers (TB),31,9,7,9,1,0,0,11,80.0,7.3,23.0%
18,New York Giants (NYG),21,12,7,9,2,0,0,12,79.0,6.6,19.5%
19,Las Vegas Raiders (LV),28,10,4,7,1,1,0,12,79.0,6.6,17.1%
20,Philadelphia Eagles (PHI),32,6,7,11,1,1,0,11,77.0,7.0,66.9%
21,Los Angeles Chargers (LAC),36,6,9,9,0,0,1,11,77.0,7.0,13.7%
22,Green Bay Packers (GB),26,5,7,7,2,0,0,11,77.0,7.0,19.8%
23,Houston Texans (HOU),24,8,7,10,0,0,1,11,71.0,6.5,10.4%
24,Detroit Lions (DET),23,8,4,6,1,1,0,11,66.0,6.0,52.2%
25,Atlanta Falcons (ATL),22,6,6,8,1,1,0,11,64.0,5.8,13.2%
26,New England Patriots (NE),24,6,5,7,0,1,0,11,62.0,5.6,50.9%
27,Tennessee Titans (TEN),29,3,5,7,0,0,0,11,60.0,5.5,27.0%
28,Arizona Cardinals (ARI),32,9,5,4,1,0,0,12,58.0,4.8,1.0%
29,Washington Commanders (WAS),35,6,7,8,0,0,0,12,58.0,4.8,31.1%
30,Chicago Bears (CHI),15,9,4,5,1,0,0,11,57.0,5.2,6.6%
31,Los Angeles Rams (LAR),25,5,4,6,0,0,0,11,50.0,4.5,5.5%
32,Carolina Panthers (CAR),18,5,2,2,2,0,1,11,47.0,4.3,6.4%
